|track_id|track_name|track_rating|track_url|lyrics|genre|artist_name|artist_id|album_name|album_id
0|30967939|Run|86|https://www.musixmatch.com/lyrics/Leona-Lewis/Run?utm_source=application&utm_campaign=api&utm_medium=University+of+Maryland%3A1409618655617| i'll sing it one last time for you then we really have to go you've been the only thing that's right in all i've done  and i can barely look at you but every single time i do i know we'll make it anywhere away from here  light up, light up as if you have a choice even if you cannot hear my voice i'll be right beside you, dear  louder, louder and we'll run for our lives i can hardly speak, i understand why you can't raise your voice to say  to think i might not see those eyes makes it so hard not to cry and as we say our long goodbyes i nearly do, hmm, oh  light up, light up as if you have a choice even if you cannot hear my voice i'll be right beside you, dear, oh  louder, louder and we'll run for our lives i can hardly speak i understand why you can't raise your voice to say  light up, light up as if you have a choice even if you cannot hear my voice i'll be right beside you, dear  louder, louder and we'll run for our lives i can hardly speak, i understand why you can't raise your voice to say, ooh|Pop|Leona Lewis|269415|Spirit|13831350
1|31337077|Let It Die|82|https://www.musixmatch.com/lyrics/Foo-Fighters/Let-It-Die?utm_source=application&utm_campaign=api&utm_medium=University+of+Maryland%3A1409618655617| heart of gold but it lost its pride beautiful veins and bloodshot eyes i've seen your face in another light why'd you have to go and let it die? why'd you have to go and let it die? why'd you have to go and let it die? in too deep and out of time why'd you have to go and let it die?  a simple man and his blushing bride intravenous, intertwined hearts gone cold your hands were tied why'd you have to go and let it die? why'd you have to go and let it die? why'd you have to go and let it die? in too deep and out of time why'd you have to go and let it die? do you ever think of me? you're so considerate do you ever think of me? oh, so considerate in too deep and lost in time why'd you have to go and let it die? beautiful veins and bloodshot eyes why'd you have to go and let it die? hearts gone cold and hands are tied why'd you have to go and let it die? why'd you have to go and let it die?  do you ever think of me? you're so considerate did you ever think of me? oh, so considerate in too deep and lost in time why'd you have to go and let it die? beautiful veins and bloodshot eyes why'd you have to go and let it die? hearts gone cold and hands are tied why'd you have to go and let it die? why'd you have to go and let this die? why'd you have to go and let this die? why'd you have to go and let this die? why'd you have to go and let this die? why'd you have to go and let it die?|Rock|Foo Fighters|105|Echoes, Silence, Patience & Grace|13944272
2|32958422|Do You Hear What I Hear|82|https://www.musixmatch.com/lyrics/Carrie-Underwood/Do-You-Hear-What-I-Hear?utm_source=application&utm_campaign=api&utm_medium=University+of+Maryland%3A1409618655617| said the night wind to the little lamb do you see what i see way up in the sky little lamb do you see what i see a star, a star dancing in the night with a tail as big as a kite with a tail as big as a kite  said the little lamb to the shepherd boy do you hear what i hear do you hear what i hear ringing through the sky shepherd boy do you hear what i hear do you hear what i hear a song, a song high above the trees with a voice as big as the sea with a voice as big as the sea  said the shepherd boy to the mighty king do you know what i know  do you know what i know  in your palace wall mighty king do you know what i know do you know what i know a child, a child shivers in the cold let us bring him silver and gold let us bring him silver and gold  said the king to the people everywhere listen to what i say listen to what i say pray for peace people everywhere listen to what i say listen to what i say the child, the child sleeping in the night he will bring us goodness and light he will bring us goodness and light he will bring us goodness and light|Pop|Carrie Underwood|141312|Carnival Ride|15416060
3|15389109|Umbrella (radio edit)|78|https://www.musixmatch.com/lyrics/Rihanna-Feat-Jay-Z/Umbrella-radio-edit?utm_source=application&utm_campaign=api&utm_medium=University+of+Maryland%3A1409618655617| yeah, rihanna good girl gone bad take three, action  hov, no clouds in my storms let it rain, i hydroplane into fame comin' down like the dow jones when the clouds come, we gone  we roc-a-fellas we fly higher than weather and she flies it better  you know me, in anticipation for precipitation stack chips for the rainy day jay, rain man is back with little miss sunshine rihanna, where you at?  you had my heart, and we'll never be worlds apart maybe in magazines, but you'll still be my star baby 'cause in the dark, you can't see shiny cars and that's when you need me there with you, i'll always share  because when the sun shines, we'll shine together told you i'll be here forever said i'll always be your friend took an oath, i'ma stick it out to the end  now that it's raining more than ever know that we'll still have each other you can stand under my umbrella you can stand under my umbrella  ella ella, ay ay ay under my umbrella ella ella, ay ay ay under my umbrella ella ella, ay ay ay under my umbrella ella ella, ay ay ay ay, ay ay  these fancy things will never come in between you're part of my entity, here for infinity when the war has took its part when the world has dealt its cards if the hand is hard, together we'll mend your heart  because when the sun shines, we'll shine together told you i'll be here forever said i'll always be your friend took an oath, i'ma stick it out to the end  now that it's raining more than ever know that we'll still have each other you can stand under my umbrella you can stand under my umbrella  ella ella, ay ay ay under my umbrella ella ella, ay ay ay under my umbrella ella ella, ay ay ay under my umbrella ella ella, ay ay ay ay, ay ay  you can run into my arms it's okay, don't be alarmed, come in to me there's no distance in between our love so go on and let the rain pour i'll be all you need and more  because when the sun shines, we'll shine together told you i'll be here forever said i'll always be your friend took an oath, i'ma stick it out to the end  now that it's raining more than ever know that we'll still have each other you can stand under my umbrella you can stand under my umbrella  ella ella, ay ay ay under my umbrella ella ella, ay ay ay under my umbrella ella ella, ay ay ay under my umbrella ella ella, ay ay ay ay, ay ay  it's raining, raining ooh baby, it's raining, raining baby, come in to me come in to me  it's raining, raining ooh baby, it's raining, raining you can always come here to me come in to me|R&B/Soul|Rihanna Feat. Jay-Z|13790023|Umbrella|10755789
4|32130011|Umbrella|77|https://www.musixmatch.com/lyrics/Rhianna/Umbrella?utm_source=application&utm_campaign=api&utm_medium=University+of+Maryland%3A1409618655617| no clouds in my stones let it rain, i hydroplane in the bank eh, eh, eh coming down with the dow jones when the clouds come, we gone, we roc-a-fella eh, eh, eh, eh we fly higher than weather, in g's or better you know me in anticipation for precipitation stack chips for the rainy day eh, eh, eh jay, rain man is back eh, eh, eh with little ms sunshine, rihanna, where you at?  you have my heart and we'll never be worlds apart may be in magazines but you'll still be my star baby, 'cause in the dark you can't see shiny cars and that's when you need me there with you i'll always share  because when the sun shine, we shine together told you i'll be here forever said i'll always be your friend took an oath, i'mma stick it out to the end now that it's raining more than ever know that we'll still have each other you can stand under my umbrella you can stand under my umbrella  ella, ella, eh, eh, eh under my umbrella ella, ella, eh, eh, eh under my umbrella ella, ella, eh, eh, eh under my umbrella ella, ella, eh, eh, eh, eh, eh, eh  these fancy things will never come in between you're part of my entity here for infinity when the war has took its part when the world has dealt its cards if the hand is hard together we'll mend your heart  because when the sun shine, we shine together told you i'll be here forever said i'll always be your friend took an oath, i'mma stick it out to the end now that it's raining more than ever know that we'll still have each other you can stand under my umbrella you can stand under my umbrella  ella, ella, eh, eh, eh under my umbrella ella, ella, eh, eh, eh under my umbrella ella, ella, eh, eh, eh under my umbrella ella, ella, eh, eh, eh, eh, eh, eh  you can run into my arms it's okay, don't be alarmed come into me there's no distance in between our love so go on and let the rain pour i'll be all you need and more, ohh  because when the sun shine, we shine together told you i'll be here forever said i'll always be your friend took an oath, i'mma stick it out to the end now that it's raining more than ever know that we'll still have each other you can stand under my umbrella you can stand under my umbrella  ella, ella, eh, eh, eh under my umbrella ella, ella, eh, eh, eh under my umbrella ella, ella, eh, eh, eh under my umbrella ella, ella, eh, eh, eh, eh, eh, eh  it's rainin', rainin' ooh, baby, it's rainin', rainin' baby, come here to me come into me it's rainin', rainin' ooh, baby, it's rainin', rainin' you can always come into me come into me it's pourin' rain it's pourin' rain come here to me come into me|R&B/Soul|Rihanna|33491890|Good Girl Gone Bad: Reloaded|11346111
5|94400064|¿Dónde? ¿Cómo?|77|https://www.musixmatch.com/lyrics/Rojo/%C2%BFDonde-%C2%BFComo/translation/english?utm_source=application&utm_campaign=api&utm_medium=University+of+Maryland%3A1409618655617| where do i write my life without you? how do i make history like this? where do i find an answer to the clamor? to find another better day?  where do i find the challenge without you? how do i hug life like this? where do i lock my love for you? how did you fly like this?  jesus can't miss your love it's the only thing i want in life don't let me die without knowing what your love is!  where is my way without you? how did i achieve my dreams like that? where i quench my thirst to know? the destiny of my being?  how do i touch the world without you? where do i put the light in me? where do i write my love for you? why do i know that this has no end?  jesus can't miss your love it's the only thing i want in life don't let me die without knowing what your love is!  you are the melody, the one born day by day! the spring of my life the source of my joy  jesus can't miss your love it's the only thing i want in life don't let me die without knowing what is your love|Alternative & Rock in Spanish|Rojo|19450|Con El Corazón En La Mano|21562902
6|17010362|Suicide Girls|77|https://www.musixmatch.com/lyrics/Cock-Sparrer/Suicide-Girls?utm_source=application&utm_campaign=api&utm_medium=University+of+Maryland%3A1409618655617| four in the morning, out all night going where she can't tell but she knows it'll be alright she's with the suicide girls struttin' down the street with an attitude like she owns the world don't even think she'd look at you she's with the suicide girls  and when they're all together you better watch out nobody's gonna mess with them until the last one passes out orderin' the drinks and talkin' loud with a laugh like a scream from hell she's never gonna be one of the crowd she's with the suicide girls  for a life time or a single night you might get into her world that'll be strictly by invite she's with the suicide girls just don't try to take her away you'll be dead before you fail get in the backseat and know your place she's with the suicide girls  and when they're all together you better watch out nobody's gonna mess with them until the last one passes out she might dance the night away or spend it in a cell it don't matter anyways she's with the suicide girls  all for one and one for all we're with the suicide girls all for one and one for all we're with the suicide girls all for one and one for all we're with the suicide girls all for one and one for all we're with the suicide girls all for one and one for all we're with the suicide girls all for one and one for all we're with the suicide girls all for one and one for all we're with the suicide girls all for one and one for all we're with the suicide girls all for one|Punk|Cock Sparrer|14422|Here We Stand|14195511
7|71427198|What I've Done|76|https://www.musixmatch.com/lyrics/LINKIN-PARK/What-I-ve-Done?utm_source=application&utm_campaign=api&utm_medium=University+of+Maryland%3A1409618655617| in this farewell there's no blood, there's no alibi 'cause i've drawn regret from the truth of a thousand lies  so let mercy come and wash away what i've done  i'll face myself to cross out what i've become erase myself and let go of what i've done  put to rest what you thought of me while i clean this slate with the hands of uncertainty  so let mercy come and wash away what i've done  i'll face myself to cross out what i've become erase myself and let go of what i've done  for what i've done  i start again and whatever pain may come today this ends i'm forgiving what i've done  i'll face myself to cross out what i've become erase myself and let go of what i've done na-na na na na-na na na na-na na na  what i've done na-na na na na-na na na  forgiving what i've done na-na na na na-na na na na-na na na na-na na|Rock|LINKIN PARK|7132|What I've Done|10965251
8|32108987|Rockin' Around the Christmas Tree|76|https://www.musixmatch.com/lyrics/Miley-Cyrus/Rockin-Around-the-Christmas-Tree?utm_source=application&utm_campaign=api&utm_medium=University+of+Maryland%3A1409618655617| at the christmas party hop mistletoe hung where you can see every couple tries to stop  let the christmas spirit ring later we'll have some pumpkin pie and we'll do some caroling  you will get a sentimental feeling when you hear voices singing, let's be jolly deck the halls with boughs of holly  rockin' around the christmas tree  have a happy holiday everyone dancin' merrily  in the new old-fashioned way let the christmas spirit ring later we'll have some pumpkin pie  and we'll do some caroling you will get a sentimental feeling when you hear voices singing, let's be jolly deck the halls with boughs of holly have a happy holiday everyone dancin' merrily in the new old-fashioned way|Pop|Miley Cyrus|224210|A Very Special Christmas 7|11015313
9|6837698|Last Christmas|76|https://www.musixmatch.com/lyrics/Taylor-Swift/Last-Christmas?utm_source=application&utm_campaign=api&utm_medium=University+of+Maryland%3A1409618655617| last christmas, i gave you my heart but the very next day you gave it away this year, to save me from tears i'll give it to someone special  once bitten and twice shied i keep my distance, but you still catch my eye tell me, baby, do you recognize me? well, it's been a year, it doesn't surprise me  merry christmas, i wrapped it up and sent it with a note saying i love you, i meant it now i know what a fool i've been but if you kiss me now, i know you'd fool me again  last christmas, i gave you my heart but the very next day you gave it away this year, to save me from tears i'll give it to someone special  last christmas, i gave you my heart but the very next day you gave it away this year, to save me from tears i'll give it to someone special  a crowded room and friends with tired eyes i'm hiding from you and your soul of ice my god, i thought you were someone to rely on me, i guess i was a shoulder to cry on  a face on a lover with a fire in his heart a girl on a cover, but you tore her apart maybe this year, maybe this year i'll give it to someone special  'cause last christmas, i gave you my heart but the very next day you gave it away this year, to save me from tears i'll give it to someone special  last christmas, i gave you my heart but the very next day you gave it away this year, to save me from tears i'll give it to someone special  and last christmas and this year won't be anything like, anything like-  last christmas, i gave you my heart but the very next day you gave it away this year, to save me from tears i'll give it to someone special|Holiday|Taylor Swift|259675|Sounds of the Season: The Holiday Collection|10801317
10|78269893|Girlie O (Remix)|76|https://www.musixmatch.com/lyrics/Patoranking-feat-Tiwa-Savage-feat-Patoranking/Girlie-O-Remix?utm_source=application&utm_campaign=api&utm_medium=University+of+Maryland%3A1409618655617| oh oh oh oh patoranking me dey here oh oh oh oh easy bro what ya say? oh oh oh oh oh oh oh oh make way  tiwa savage hmm ole ole see him stealing my heart away o tun bere sho le, sho le je ka jo ma wo le, wo de me love you very long long long long so pass me your love like a ping pong ping pong cos you ring my bell like a ding dong ding dong wooo hoo hoo-oo cos this love aint no go trouble no one i know the feeling is strong but you is a bandit never love another like go tell my friends them, go tell my friends them, that he will die for me go tell my mama, go tell my papa that he will die for me go tell my friends them, go tell my friends them, that he will die for me go tell my mama, go tell my papa that he will die for me  make way make way girlie o for so long i've been waiting o waiting for your love and your body o come take up the money o pretty baby and me honey o me love you for a very long time long time you love me when i get a dime get a dime baby just give me the left side  me wan give you anytime  when me give you this, you give me that me girl so real, not a copycat baby, whine it like that me loving it when you giving me like that boom ba you are a blessing you came into my life, no more stressing say the smile on your face is impressing everything around you seems interesting do re mi fa so la ti do do do take you anywhere you wan go go go  teach you everything you need to know know know show you that i love you so so so girlie o for so long i've been waiting o waiting for your love and your body o come take up the money o pretty baby and me honey o me love you for a very long time long time you love me when i get a dime get a dime  baby just give me the left side me wan give you anytime  girl me no wan leave you again boy you know you drive me insane o girl me wan take away your pain take it away so i will never be the same o sugar, your fire can't cool tiwa savage is good for your soul patoranking is a ruler and i can be your one and only queen sheba angelina lina celina lina me love for you, inna medina  take you down to medina  oh oh oh oh oh oh oh oh whooo you, yea yea oh oh oh oh whoo whoo yea yeh oh oh oh oh  girlie o for so long i've been waiting o waiting for your love and your body o  come take up the money o pretty baby and me honey o me love you for a very long time long time you love me when i get a dime get a dime baby just give me the left side me wan give you anytime yo baby you know say me love you so much me wan take you everyday to the church love you, from the bottom of me heart from the end to the start they don know patoranking me dey here patoranking me dey here go tell them me say that me say that|Pop|Patoranking feat. Tiwa Savage|29608553|Patoranking PlayList|20219477
11|6541160|Crank That (Soulja Boy)|76|https://www.musixmatch.com/lyrics/Soulja-Boy-Tell-Em/Crank-That-Soulja-Boy-2/translation/english?utm_source=application&utm_campaign=api&utm_medium=University+of+Maryland%3A1409618655617| soulja boy diga a eles ay eu tenho a nova dança para vocês chamaram o soulja boy você tem que dar um soco, três vezes da esquerda para a direita  soulja boy neste ho me assista, me assista, me assista assista-me manivela dat soulja boy então superman dat ho agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy soulja boy neste ho me assista, me assista, me assista assista-me manivela dat soulja boy então superman dat ho agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy  soulja boy neste ho watch me lean and watch me rock superman dat ho then watch me crank dat robocop super fresh, now watch me jock jocking on them haters man when i do dat soulja boy i lean to the left and crank that thang now yuuuuuu i'm jocking on yo bitch ass and if we get to fightin i'm cocking on your bitch ass you catch me at yo local party yes i crank it everyday haters get mad cause i got me some bathin' ape  soulja boy neste ho me assista, me assista, me assista assista-me manivela dat soulja boy então superman dat ho agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy soulja boy neste ho me assista, me assista, me assista assista-me manivela dat soulja boy então superman dat ho agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy  uudrhhxhf i'ma pass it to arab then he gon' crank it up fo' sho' haters wanna be me, soulja boy, i'm the man they be lookin at my neck, sayin it's the rubberbannnnnd mannnnn mannnn watch me do it watch me do it dannnnce dannnnce let's get to it let's get to it nope, you can't do it like me [so] so don't do it like me , i see you tryna do it like me, man that shit was ugly  soulja boy neste ho me assista, me assista, me assista assista-me manivela dat soulja boy então superman dat ho agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy soulja boy neste ho me assista, me assista, me assista assista-me manivela dat soulja boy então superman dat ho agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy  i'm too fresh off in this ho me assista, me assista, me assista watch me crank that roosevelt and super soak that ho super soak that ho super soak that ho super soak that ho super soak that ho  i'm too fresh now watch me do it watch me shuffle, watch me you assista-me manivela dat soulja boy now superman superman superman  soulja boy neste ho me assista, me assista, me assista assista-me manivela dat soulja boy então superman dat ho agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy soulja boy neste ho me assista, me assista, me assista assista-me manivela dat soulja boy então superman dat ho agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy agora me assista yuuuuuuu crank dat soulja boy now watch você ah você|Hip Hop/Rap|Soulja Boy Tell 'Em|311086|Souljaboytellem.com|10774252
12|186621462|Love so sweet|76|https://www.musixmatch.com/lyrics/%E5%B5%90-1/Love-so-sweet/translation/english?utm_source=application&utm_campaign=api&utm_medium=University+of+Maryland%3A1409618655617| 輝いたのは鏡でも太陽でもなくて 君だと気付いたときから あの涙ぐむ雲のずっと上には微笑む月 love so sweet またひとつ  傷ついた夢は昨日の彼方へ 空に響け 愛の歌  思い出ずっとずっと忘れない空 ふたりが離れていっても こんな好きな人に出逢う季節二度とない  光ってもっと最高のlady きっとそっと想い届く 信じることがすべて love so sweet  そこからいつも見えるように この手を空に向け 広がる君との思い出  あのかたくなで意地っ張りな 僕を変えた君の手 love story 歩き出す  曲がりくねってたふたつの旅路は ここでひとつ 虹になれ  思い出ずっとずっと追いかけた夢 ふたりが遠くへ行っても どんな辛い夜もくじけそうな誓いでも  笑ってもっと最後のlady きっとそっと願い届く 明けない夜はないよ love so sweet  伝えきれぬ愛しさは 花になって街に降って どこにいても君をここに感じてる  思い出ずっとずっと忘れない空 ふたりが離れていっても こんな好きな人に出逢う季節二度とない  光ってもっと最高のlady きっとそっと想い届く 信じることがすべて 明けない夜はないよ 信じることがすべて love so sweet|Pop|嵐|41026085|Love so Sweet|35539266
13|90401336|Owo Ni Koko|76|https://www.musixmatch.com/lyrics/DaVido/Owo-Ni-Koko?utm_source=application&utm_campaign=api&utm_medium=University+of+Maryland%3A1409618655617| its j fem production its j fem beats ooooo baddest  and if you dance like jackson o omo nye ko kan mi o and if you dance like raymond o omo nye ko kan wa o owo ni ko ko ma lo nogere owo ni ko ko ma lo suwegbe  and if you dance like jackson o omo nye ko kan mi o and if you dance like raymond o omo nye ko kan wa o owo ni ko ko ma lo nogere owo ni ko ko ma lo suwegbe  omoge baba mi lo ni konga omoge baba e lo ni konga omoge baba olowo ni mi o omoge, olo mi to ni ginger ehhh and the way you be moving your body oti to girl your body's amazing and perfect, oti to and i don't want to fly it, my baby no be so and i'm loving the way that you're making your body go  and if you dance like jackson o omo nye ko kan mi o and if you dance like raymond o omo nye ko kan wa o owo ni ko ko ma lo nogere owo ni ko ko ma lo suwegbe  and if you dance like jackson o omo nye ko kan mi o and if you dance like raymond o omo nye ko kan wa o owo ni ko ko ma lo nogere owo ni ko ko ma lo suwegbe  i never see this kind of girl before, them say na kokonbu i never see this kind of girl before, she say na remote baby come close to me give me some real passion come right here let me give you this love potion entertain me i want to see some action if you give me ama give you the satisfaction you're a girl you're a girl come and seat in my money go get down go get down cause i sing this song for you its that time its that time and i trust you go follow to a place in the night time and i know say you go go  and if you dance like jackson o omo nye ko kan mi o and if you dance like raymond o omo nye ko kan wa o owo ni ko ko ma lo nogere owo ni ko ko ma lo suwegbe  and if you dance like jackson o omo nye ko kan mi o and if you dance like raymond o omo nye ko kan wa o owo ni ko ko ma lo nogere owo ni ko ko ma lo suwegbe  its j fem beats thank you very much its over e be like say you want j fem production|Afro-Beat|Davido|24467116|Best Of Davido|21274957
14|139824807|鍾無艷|76|https://www.musixmatch.com/lyrics/%E8%AC%9D/%E9%8D%BE%E7%84%A1%E8%89%B7/translation/english?utm_source=application&utm_campaign=api&utm_medium=University+of+Maryland%3A1409618655617| i am always worried of you only commending my perseverance and worried of you only appreciating my manners no one will go further than me when it's about boosting your confidence but no one will ask me if i am willing to play this great character actually, i have thought about breaking down occasionally, like a normal couple would be in your arms vulnerably, and be freed from my mighty roles unfortunately you saw through my idea and stated clearly that good friends are the furthest we can go  even without your permission, i will go on loving you when we're exchanging blessings and putting our guards off, maybe you'd allow a kiss i hate being mature so much, i won't allow you to see me shed my tears but smiling elegantly will only worsen my pain inside even with your usual compliments, i do not deserve loving you when you feel sad, i must help you out and fill my role to seek fun me willing to be you second choice is happily ironical for myself understanding each other so much have probably allowed kinship to grow between us  i am worried you liked only my etiquettes i am worried you allowed me to understand so i am never asked of when i am alone 原來是我的心境高到變為偶像 誰情願照耀著別人就如月亮 為奴婢為你備飯奉茶是殘忍真相 unfortunately you saw through my idea and stated clearly that good friends are the furthest we can go  even without your permission, i will go on loving you when we're exchanging blessings and putting our guards off, maybe you'd allow a kiss i hate being mature so much, i won't allow you to see me shed my tears but smiling elegantly will only worsen my pain inside even with your usual compliments, i do not deserve loving you when you feel sad, i must help you out and fill my role to seek fun me willing to be you second choice is happily ironical for myself understanding each other so much  please let me decide my own happiness, and even without your permission i will go on loving you when we're exchanging blessings and putting our guards off, maybe you'd allow a kiss i hate being mature so much, i won't allow you to see me shed my tears but smiling elegantly will only worsen my pain inside  maybe i will receive your usual compliments, but those are unnecessary anymore when you feel sad, i must help you out and fill my role to seek fun i can always be by your side, but i can never be knowing you from the inside understanding each other so much have probably allowed kinship to grow between us how will your only one allow us to witness the snow, as if those are crying the drink you bought me will never be opened, and be treasured and kissed by me|Cantopop|謝安琪|275582|3/8|27389802
15|151000914|Včelka Mája|76|https://www.musixmatch.com/lyrics/Karel-Gott/V%C4%8Delka-M%C3%A1ja/translation/english?utm_source=application&utm_campaign=api&utm_medium=University+of+Maryland%3A1409618655617| učení páni zkušení, já rád bych vám teď podotknul, nikdo z vás nemá tušení, že v dálce stojí malý úl z něj každé ráno vyletá ta včelka mája, naše kamarádka včelka mája, máme jí co závidět výšku z které vidí svět a o tom vypráví nám potom včelka mája, malá uličnice včelka mája, mávne křídly včelka mája, mája mája mááája zas míří mezi nás|Pop|Karel Gott|23992|Čas Růží|29012331
